SQRP SY2020 Individual Indicator Scores (Based on 2018-2019 Data),,,,,,,PSAT and SAT  Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High School Graduation Indicators,,,,,,,,,College and Career Readiness Indiciators,,,,,,,,,Other Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School ID,School Name,Network ,SQRP Total Points Earned,SY 2019-2020 SQRP Rating,SY 2019-2020 Accountability Status,PSAT09 Cohort Growth Percentile,,,,PSAT10 EBRW Annual Growth Percentile,,,,PSAT10 MATH Annual Growth Percentile,,,,SAT11 EBRW Annual Growth Percentile,,,,SAT11 MATH Annual Growth Percentile,,,,SAT11 Cohort Growth Percentile,,,,"SAT11 African-American
 Cohort Growth  Percentile ",,,,"SAT11 Hispanic
 Cohort Growth  Percentile ",,,,"SAT11 English Learner
 Cohort Growth  Percentile ",,,,"SAT11 Diverse Learner
 Cohort Growth  Percentile ",,,,Percent Meeting College Readiness Benchmarks,,,,Freshmen On-Track Rate,,,4-Year Cohort Graduation Rate,,,1-Year Dropout Rate,,,College Enrollment Rate,,,College Persistence Rate,,,% Earning Early College and Career Credentials,,,Average Daily Attendance Rate,,,"My Voice, My School 5 Essentials Survey ",,,Data Quality Index Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400057,NOBLE - UIC HS,Charter,4.5,Level 1+,Not Applicable,99,99,5,3.33,73,100,4,1.67,5,100,1,1.67,16,100,2,1.67,82,100,4,1.67,99,100,5,15,99,100,5,2.5,99,100,5,2.5,,,,,,,,,63.1,100,4,10,88.4,4,10,89.6,5,10,2.8,4,5,91.9,5,5,84.7,4,5,46.2,5,5,94.1,4,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400058,NORTH LAWNDALE - CHRISTIANA HS,Charter,2.7,Level 2,Not Applicable,27,96,2,3.33,68,97,3,1.67,16,97,2,1.67,35,100,2,1.67,50,100,3,1.67,4,100,1,17.5,4,100,1,2.5,,,,,,,,,,,,,11,98,1,10,89.9,4,10,74.5,3,10,1.7,5,5,60.8,3,5,61,2,5,34.5,4,5,93.2,4,10,Moderately Organized,3,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400059,NORTH LAWNDALE - COLLINS HS,Charter,3,Level 2+,Not Applicable,14,96,2,3.33,50,100,3,1.67,32,100,2,1.67,21,99,2,1.67,38,99,2,1.67,2,99,1,17.5,2,99,1,2.5,,,,,,,,,,,,,7.2,99,1,10,88.9,4,10,65.5,3,10,1.1,5,5,64.2,3,5,66.7,3,5,42.9,5,5,96.5,5,10,Organized,4,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400062,PERSPECTIVES - TECH HS,Charter,3.1,Level 2+,Not Applicable,60,100,3,3.33,67,99,3,1.67,32,99,2,1.67,34,100,2,1.67,75,100,4,1.67,12,100,2,17.5,12,100,2,2.5,,,,,,,,,,,,,11.3,100,1,10,90,5,10,82.3,4,10,2.4,4,5,53.4,2,5,50.9,1,5,87.2,5,5,92.1,4,10,Organized,4,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400085,ACERO - GARCIA HS,Charter,3.7,Level 1,Not Applicable,87,98,4,3.33,33,99,2,1.67,30,99,2,1.67,19,100,2,1.67,63,100,3,1.67,43,100,3,17.5,,,,,45,100,3,2.5,,,,,,,,,36.3,99,2,10,92.9,5,10,90.9,5,10,0.5,5,5,64.2,3,5,76.7,4,5,36.3,4,5,91.1,4,10,Moderately Organized,3,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400086,URBAN PREP - ENGLEWOOD HS,Charter,2.9,Level 2,Not Applicable,15,99,2,3.33,34,99,2,1.67,50,99,3,1.67,21,95,2,1.67,37,95,2,1.67,3,95,1,17.5,3,95,1,2.5,,,,,,,,,,,,,12,98,1,10,81,4,10,74,3,10,4,4,5,70.8,4,5,72.2,3,5,40.4,5,5,94.3,4,10,Well Organized,5,5,99.6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400087,YOUNG WOMENS HS,Charter,3.1,Level 2+,Not Applicable,68,98,3,3.33,50,100,3,1.67,33,100,2,1.67,12,100,2,1.67,50,100,3,1.67,15,100,2,20,,,,,,,,,,,,,,,,,12.1,99,1,10,86.1,4,10,72.1,3,10,3.5,4,5,75.8,5,5,69.6,3,5,14.6,2,5,91.4,4,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400091,CHICAGO TECH HS,Contract,2.9,Level 2,Provisional Support,37,100,2,3.33,80,99,4,1.67,16,99,2,1.67,35,100,2,1.67,37,100,2,1.67,1,100,1,20,,,,,,,,,,,,,,,,,14.8,100,1,10,92.2,5,10,77.2,4,10,2.3,4,5,63.3,3,5,72.7,3,5,42.5,5,5,91,4,10,Partially Organized,2,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400094,EPIC HS,Charter,3.4,Level 2+,Not Applicable,65,97,3,3.33,66,98,3,1.67,31,98,2,1.67,4,97,1,1.67,37,97,2,1.67,17,97,2,17.5,13,98,2,2.5,,,,,,,,,,,,,24.6,97,2,10,91.4,5,10,79.7,4,10,1.4,5,5,78.3,5,5,57.8,2,5,31.3,4,5,92.1,4,10,Organized,4,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400097,NOBLE - BULLS HS,Charter,4.3,Level 1+,Not Applicable,99,97,5,3.33,50,99,3,1.67,50,99,3,1.67,17,100,2,1.67,50,100,3,1.67,99,100,5,15,96,100,5,2.5,99,100,5,2.5,,,,,,,,,58.7,98,3,10,86,4,10,90.2,5,10,2.2,4,5,89.8,5,5,78.9,4,5,27.7,3,5,93.5,4,10,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400098,NOBLE - MUCHIN HS,Charter,4.4,Level 1+,Not Applicable,98,99,5,3.33,50,100,3,1.67,28,100,2,1.67,16,100,2,1.67,67,100,3,1.67,83,100,4,15,80,100,5,2.5,83,100,5,2.5,,,,,,,,,59.1,100,3,10,92.3,5,10,91.6,5,10,0.3,5,5,90,5,5,76.5,4,5,55.8,5,5,95,5,10,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400102,URBAN PREP - WEST HS,Charter,2.4,Level 2,Not Applicable,9,95,1,3.33,81,100,4,1.67,50,100,3,1.67,21,98,2,1.67,63,98,3,1.67,10,98,2,20,,,,,,,,,,,,,,,,,13.3,98,1,10,67.6,2,10,59.8,2,10,14.3,1,5,66.7,4,5,56.8,2,5,0,1,5,92.8,4,10,Organized,4,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400104,INSTITUTO - HEALTH,Charter,2.6,Level 2,Not Applicable,31,96,2,3.33,66,93,2,1.67,15,93,1,1.67,34,97,2,1.67,27,97,2,1.67,6,97,1,17.5,,,,,5,97,1,2.5,,,,,,,,,17,95,1,10,85.8,4,10,78.8,4,10,2.8,4,5,48.7,2,5,68.4,3,5,91.9,5,5,88.6,3,10,Partially Organized,2,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400105,URBAN PREP - BRONZEVILLE HS,Charter,3.5,Level 1,Not Applicable,49,97,3,3.33,50,98,3,1.67,50,98,3,1.67,34,100,2,1.67,27,100,2,1.67,22,100,2,17.5,21,100,2,2.5,,,,,,,,,,,,,20.2,98,2,10,90.8,5,10,76.3,4,10,2.3,4,5,75,5,5,67.1,3,5,89.3,5,5,93.8,4,10,Organized,4,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400106,NOBLE - JOHNSON HS,Charter,2.9,Level 2,Not Applicable,62,88,1,3.33,66,90,1,1.67,50,90,1,1.67,4,97,1,1.67,37,97,2,1.67,40,97,3,17.5,38,97,3,2.5,,,,,,,,,,,,,24,92,1,10,81.4,4,10,78.8,4,10,4.5,3,5,75.7,5,5,59,2,5,4.5,1,5,89.3,3,10,Organized,4,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400113,CICS - CHICAGOQUEST HS,Charter,2.6,Level 2,Not Applicable,34,96,2,3.33,19,95,2,1.67,33,95,2,1.67,21,97,2,1.67,26,97,2,1.67,2,97,1,17.5,2,97,1,2.5,,,,,,,,,,,,,8.7,96,1,10,83.7,4,10,86.1,5,10,3.7,4,5,62.5,3,5,65.8,3,5,8.5,1,5,84.5,2,10,Organized,4,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400117,NOBLE - HANSBERRY HS,Charter,3.4,Level 2+,Not Applicable,80,91,1,3.33,50,100,3,1.67,69,100,3,1.67,18,100,2,1.67,74,100,4,1.67,68,100,3,17.5,68,100,4,2.5,,,,,,,,,,,,,32.6,97,2,10,82.6,4,10,76.1,4,10,2,5,5,80.3,5,5,62.3,2,5,28.3,3,5,93.1,4,10,Moderately Organized,3,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400118,NOBLE - DRW HS,Charter,2.9,Level 2,Not Applicable,65,95,3,3.33,80,95,4,1.67,50,95,3,1.67,20,99,2,1.67,37,99,2,1.67,22,99,2,17.5,21,100,2,2.5,,,,,,,,,,,,,20.9,92,1,10,84,4,10,77,4,10,4.5,3,5,80.6,5,5,63.1,2,5,4.3,1,5,89,3,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400119,LEGAL PREP HS,Charter,2.8,Level 2,Not Applicable,15,96,2,3.33,33,95,2,1.67,31,95,2,1.67,35,99,2,1.67,38,99,2,1.67,12,99,2,17.5,12,99,2,2.5,,,,,,,,,,,,,7,96,1,10,87.3,4,10,73.8,3,10,3.5,4,5,48.9,2,5,50,1,5,79.6,5,5,86.9,3,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400149,ACERO - SOTO HS,Charter,3.3,Level 2+,Not Applicable,62,100,3,3.33,50,99,3,1.67,13,99,2,1.67,19,100,2,1.67,50,100,3,1.67,53,100,3,17.5,,,,,53,100,4,2.5,,,,,,,,,19.9,100,1,10,94.5,5,10,81.1,4,10,3,4,5,72.3,4,5,82.6,4,5,7,1,5,88.6,3,10,Well Organized,5,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400156,NOBLE - BUTLER HS,Charter,3.2,Level 2+,Not Applicable,71,94,3,3.33,50,95,3,1.67,29,95,2,1.67,10,100,2,1.67,36,100,2,1.67,33,100,2,17.5,29,100,2,2.5,,,,,,,,,,,,,29,96,2,10,85.6,4,10,78.8,4,10,0.8,5,5,85.6,5,5,72.6,3,5,0,1,5,92.7,4,10,Organized,4,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400157,NOBLE - BAKER HS,Charter,3.2,Level 2+,Not Applicable,75,95,4,3.33,81,97,4,1.67,12,97,2,1.67,4,98,1,1.67,63,98,3,1.67,11,98,2,20,,,,,,,,,,,,,,,,,34,96,2,10,80.9,4,10,76.1,4,10,4.8,3,5,83.6,5,5,63.4,2,5,4.6,1,5,91.4,4,10,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400169,NOBLE - ITW SPEER HS,Charter,4.4,Level 1+,Not Applicable,99,98,5,3.33,73,99,4,1.67,50,99,3,1.67,7,98,1,1.67,91,98,5,1.67,99,98,5,17.5,,,,,99,98,5,2.5,,,,,,,,,63.6,98,4,10,90.2,5,10,81.9,4,10,2.6,4,5,79.9,5,10,,,,19.5,2,5,94.6,4,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400170,NOBLE - ACADEMY HS,Charter,4.4,Level 1+,Not Applicable,98,98,5,3.33,96,99,5,1.67,28,99,2,1.67,16,100,2,1.67,50,100,3,1.67,97,100,5,17.5,95,100,5,2.5,,,,,,,,,,,,,56.1,99,3,10,89.6,4,10,82.7,4,10,1.8,5,5,91.5,5,10,,,,42.1,5,5,94,4,10,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400172,ASPIRA - BUSINESS & FINANCE HS,Charter,3,Level 2+,Not Applicable,15,93,1,3.33,50,91,1,1.67,16,91,1,1.67,66,98,3,1.67,73,98,4,1.67,16,98,2,17.5,,,,,14,98,2,2.5,,,,,,,,,17.2,94,1,10,80,4,10,79.6,4,20,3.7,4,5,,,,,,,47.3,5,5,87.9,3,10,Partially Organized,2,5,99.5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400179,NOBLE - MANSUETO HS,Charter,4.5,Level 1+,Not Applicable,99,98,5,4.58,75,100,4,2.3,29,100,2,2.3,7,100,1,2.3,50,100,3,2.3,97,100,5,18.75,,,,,98,100,5,2.5,,,,,,,,,60.6,99,4,10,81.8,4,20,,,,0.9,5,10,,,,,,,,,,95.1,5,15,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609674,CHICAGO VOCATIONAL HS,Network 17,2.7,Level 2,Provisional Support,4,90,1,3.33,50,92,1,1.67,16,92,1,1.67,12,99,2,1.67,50,99,3,1.67,1,99,1,17.5,1,99,1,2.5,,,,,,,,,,,,,8.7,93,1,10,91.5,5,10,76.9,4,10,2.9,4,5,38.1,1,5,52,1,5,79.2,5,5,86.2,3,10,Well Organized,5,5,99.7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609676,DUNBAR HS,Network 17,2.7,Level 2,Intensive Support,12,97,2,3.33,50,98,3,1.67,16,98,2,1.67,22,100,2,1.67,50,100,3,1.67,4,100,1,17.5,4,100,1,2.5,,,,,,,,,,,,,7.5,99,1,10,90.3,5,10,63.9,2,10,3.3,4,5,57.6,3,5,52.6,1,5,57.9,5,5,87.4,3,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609678,JONES HS,ISP,4.3,Level 1+,Good Standing,90,99,5,3.33,37,99,2,1.67,34,99,2,1.67,36,100,2,1.67,40,100,3,1.67,61,100,3,15,45,100,3,2.5,55,100,4,2.5,,,,,,,,,98.9,99,5,10,98,5,10,95.2,5,10,0.2,5,5,86.4,5,5,94,5,5,93.3,5,5,93,4,10,Organized,4,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609679,PROSSER HS,Network 15,3.4,Level 2+,Good Standing,72,99,4,3.33,68,99,3,1.67,1,99,1,1.67,8,100,1,1.67,50,100,3,1.67,13,100,2,15,1,100,1,2.5,18,100,2,2.5,,,,,,,,,42,99,3,10,82.5,4,10,89.8,5,10,0.8,5,5,76.5,5,5,72.4,3,5,75.1,5,5,89.1,3,10,Moderately Organized,3,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609680,PAYTON HS,ISP,4.1,Level 1+,Good Standing,64,100,3,3.33,37,100,2,1.67,50,100,3,1.67,50,100,3,1.67,40,100,3,1.67,24,100,2,17.5,,,,,16,100,2,2.5,,,,,,,,,98.8,100,5,10,99.7,5,10,96,5,10,0.2,5,5,92.2,5,5,92.7,5,5,98.6,5,5,94.4,4,10,Well Organized,5,5,99.7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609682,RICHARDS HS,Network 16,2.3,Level 2,Intensive Support,2,99,1,3.33,50,97,3,1.67,7,97,1,1.67,12,98,2,1.67,38,98,2,1.67,2,98,1,20,,,,,,,,,,,,,,,,,6.3,98,1,10,94.3,5,10,59,2,10,8.1,1,5,37.8,1,5,55,2,5,54.5,5,5,80.5,2,10,Organized,4,5,99.4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609691,NORTH-GRAND HS,Network 15,3.3,Level 2+,Good Standing,65,99,3,3.33,66,98,3,1.67,31,98,2,1.67,19,100,2,1.67,63,100,3,1.67,16,100,2,17.5,,,,,17,100,2,2.5,,,,,,,,,24.3,99,2,10,89.2,4,10,79,4,10,2.5,4,5,67.9,4,5,60.3,2,5,41,5,5,90.8,4,10,Well Organized,5,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
